Liczba wierzchołków,200,400,600,800,1000,
Prim - macierz,0.000761998,0.002929091,0.006346776,0.011364619,0.018002566,
Prim - lista,0.001075537,0.006095525,0.014333948,0.029031804,0.047946649,
Kruskal - macierz,0.001449008,0.005429295,0.011594879,0.020552670,0.032526650,
Kruskal - macierz,0.002623327,0.011786436,0.025670215,0.046681605,0.076611720,
